code,texture,horizon,depth_upper,depth_lower,bulk_density_g_cm3,OM_content,OC_pct,is_mineral
3312,sandy clay loam,Bt1,46.0,54.0,1.43,0.6,0.348,True
3313,sandy clay loam,Bt2,66.0,74.0,1.53,0.5,0.29,True
3320,sandy loam,Ap,6.0,14.0,1.53,2.5,1.45,True
3321,sandy loam,ABm,26.0,34.0,1.489,2.1,1.218,True
3322,sandy laom,B,46.0,54.0,1.58,0.3,0.174,True
3323,sandy loam,Bt1,66.0,74.0,1.76,0.2,0.11599999999999999,True
3330,sand,Apl,1.0,9.0,1.51,2.3,1.3339999999999999,True
3331,sand,Bs,46.0,54.0,1.47,0.6,0.348,True
3332,sand,Bs,86.0,94.0,1.509,0.3,0.174,True
3340,sand,1Ba,6.0,40.0,1.41,0.885,0.5133,True
3341,sand,2Aah,40.0,90.0,1.179,3.37,1.9546,True
3350,sand,Eh,10.0,30.0,1.15,3.9,2.262,True
3351,sandy clay loam,B2t,,,1.66,0.65,0.377,True
3380,silt loam,Ap,0.0,30.0,1.402,0.91,0.5277999999999999,True
3381,silt loam,A2,30.0,40.0,1.452,0.8,0.46399999999999997,True
3390,silt loam,Ap,0.0,30.0,1.423,1.01,0.5858,True
3391,silt loam,A2,30.0,40.0,1.442,0.5700000000000001,0.3306,True
3392,silt loam,B21t,60.0,80.0,1.481,0.35,0.20299999999999999,True
3393,silt loam,B22t,80.0,120.0,1.561,0.28,0.16240000000000002,True
3395,silt loam,C,130.0,220.0,1.709,0.34,0.19720000000000001,True
4000,sand,A2,30.0,50.0,1.46,1.62,0.9396,True
4001,sand,B,50.0,74.0,1.62,0.53,0.3074,True
4010,loamy sand,Ap,0.0,20.0,1.44,1.85,1.073,True
4011,loamy sand,A2,25.0,45.0,1.43,1.26,0.7308,True
4020,loamy sand,Ap,0.0,15.0,1.32,1.94,1.1252,True
4021,sand,A2,40.0,60.0,1.44,0.54,0.3132,True
4030,silt loam,Ap,0.0,25.0,1.49,1.46,0.8467999999999999,True
4031,silt loam,AB,25.0,50.0,1.48,1.42,0.8235999999999999,True
