texture (HSG),wilting point,field capacity,saturation,available water,drainable water
sand (A),0.068,0.129,0.531,0.062,0.402
loamy sand (A),0.088,0.228,0.525,0.14,0.297
sandy loam (A),0.119,0.313,0.517,0.194,0.204
loam (B),0.154,0.395,0.53,0.241,0.135
silt loam (B),0.138,0.431,0.527,0.293,0.096
silt (B/D),0.102,0.38,0.533,0.278,0.153
sandy clay loam (C),0.176,0.367,0.56,0.191,0.192
clay loam (D),0.196,0.427,0.57,0.231,0.143
silty clay loam (D),0.192,0.46,0.578,0.267,0.119
sandy clay (D),0.216,0.398,0.59,0.183,0.192
silty clay (D),0.219,0.46,0.605,0.241,0.145
clay (D),0.248,0.442,0.619,0.194,0.176
